NAME=b0833-45; DEC=-45.169; RA=8.593  ; PW50=0.001400 ; DM=67.97
NAME=j0835-4510; DEC=-45.169; RA=8.593  ; PW50=0.001400 ; DM=67.97
NAME=b1641-45; DEC=-46.000; RA=16.746 ; PW50=0.008000 ; DM=478.80
NAME=j1644-4559; DEC=-46.000; RA=16.746 ; PW50=0.008000 ; DM=478.80
NAME=b0329+54; DEC=54.576 ; RA=3.542  ; PW50=0.006600 ; DM=26.76
NAME=j0332+5434; DEC=54.576 ; RA=3.542  ; PW50=0.006600 ; DM=26.76
NAME=j0437-4715; DEC=-47.254; RA=4.627  ; PW50=0.000141 ; DM=2.64
NAME=b0950+08; DEC=7.932  ; RA=9.898  ; PW50=0.008900 ; DM=2.97
NAME=j0953+0755; DEC=7.932  ; RA=9.898  ; PW50=0.008900 ; DM=2.97
NAME=b0736-40; DEC=-40.712; RA=7.644  ; PW50=0.022700 ; DM=160.90
NAME=j0738-4042; DEC=-40.712; RA=7.644  ; PW50=0.022700 ; DM=160.90
NAME=b1451-68; DEC=-68.729; RA=14.949 ; PW50=0.012400 ; DM=8.64
NAME=j1456-6843; DEC=-68.729; RA=14.949 ; PW50=0.012400 ; DM=8.64
NAME=b1933+16; DEC=16.271 ; RA=19.593 ; PW50=0.006000 ; DM=158.52
NAME=j1935+1616; DEC=16.271 ; RA=19.593 ; PW50=0.006000 ; DM=158.52
NAME=b1749-28; DEC=-28.102; RA=17.881 ; PW50=0.006100 ; DM=50.37
NAME=j1752-2806; DEC=-28.102; RA=17.881 ; PW50=0.006100 ; DM=50.37
NAME=b2020+28; DEC=28.915 ; RA=20.373 ; PW50=0.012000 ; DM=24.63
NAME=j2022+2854; DEC=28.915 ; RA=20.373 ; PW50=0.012000 ; DM=24.63
NAME=b1556-44; DEC=-44.644; RA=16.000 ; PW50=0.006500 ; DM=56.10
NAME=j1559-4438; DEC=-44.644; RA=16.000 ; PW50=0.006500 ; DM=56.10
NAME=b0835-41; DEC=-41.593; RA=8.627  ; PW50=0.004400 ; DM=147.29
NAME=j0837-4135; DEC=-41.593; RA=8.627  ; PW50=0.004400 ; DM=147.29
NAME=b1240-64; DEC=-64.390; RA=12.729 ; PW50=0.005000 ; DM=297.25
NAME=j1243-6423; DEC=-64.390; RA=12.729 ; PW50=0.005000 ; DM=297.25
NAME=b1054-62; DEC=-62.983; RA=10.949 ; PW50=0.017400 ; DM=320.30
NAME=j1056-6258; DEC=-62.983; RA=10.949 ; PW50=0.017400 ; DM=320.30
NAME=b0628-28; DEC=-28.576; RA=6.508  ; PW50=0.063300 ; DM=34.42
NAME=j0630-2834; DEC=-28.576; RA=6.508  ; PW50=0.063300 ; DM=34.42
NAME=b2016+28; DEC=28.661 ; RA=20.305 ; PW50=0.014900 ; DM=14.20
NAME=j2018+2839; DEC=28.661 ; RA=20.305 ; PW50=0.014900 ; DM=14.20
NAME=b1929+10; DEC=11.000 ; RA=19.542 ; PW50=0.005700 ; DM=3.18
NAME=j1932+1059; DEC=11.000 ; RA=19.542 ; PW50=0.005700 ; DM=3.18
NAME=b1727-47; DEC=-47.746; RA=17.525 ; PW50=0.017100 ; DM=123.06
NAME=j1731-4744; DEC=-47.746; RA=17.525 ; PW50=0.017100 ; DM=123.06
NAME=b2021+51; DEC=51.915 ; RA=20.373 ; PW50=0.007400 ; DM=22.55
NAME=j2022+5154; DEC=51.915 ; RA=20.373 ; PW50=0.007400 ; DM=22.55
NAME=b0740-28; DEC=-28.373; RA=7.712  ; PW50=0.004200 ; DM=73.73
